id,company_id/id,code,name,type,user_type/id,parent_id/id,currency_id/id
__account__.account_account_H533,helom.base_company,428001,FRAIS DEPLACEMENT F. ZAMMIT,Regular,l10n_fr.account_type_payable,__account__.account_account_H500,
__account__.account_account_H534,helom.base_company,428002,FRAIS DEPLACEMENT DASYLVA CH,Regular,l10n_fr.account_type_dettes,__account__.account_account_H500,
__account__.account_account_H535,helom.base_company,428003,CORREIA RAPHAEL,Regular,l10n_fr.account_type_dettes,__account__.account_account_H500,
__account__.account_account_H536,helom.base_company,428004,FRAIS DEPLACEMENT A. NOQUEIRA,Regular,l10n_fr.account_type_dettes,__account__.account_account_H500,
__account__.account_account_H537,helom.base_company,428005,FRAIS DEPLACEMENT K. GOUJON,Regular,l10n_fr.account_type_dettes,__account__.account_account_H500,
__account__.account_account_H538,helom.base_company,428006,FRAIS DEP P. TURILLI,Regular,l10n_fr.account_type_dettes,__account__.account_account_H500,
__account__.account_account_H539,helom.base_company,428007,FRAIS DEPLACEMENTS DIVERS,Regular,l10n_fr.account_type_payable,__account__.account_account_H500,
__account__.account_account_H544,helom.base_company,43,Sécurité Sociale et autres organismes sociaux,View,l10n_fr.account_type_view,__account__.account_account_H375,
__account__.account_account_H545,helom.base_company,431000,COT. URSSAF ET ASSEDIC,Regular,l10n_fr.account_type_dettes,__account__.account_account_H544,
__account__.account_account_H546,helom.base_company,437,Autres organismes sociaux,View,l10n_fr.account_type_dettes,__account__.account_account_H544,
__account__.account_account_H547,helom.base_company,437020,COTIS. MEDERIC,Regular,l10n_fr.account_type_dettes,__account__.account_account_H544,
__account__.account_account_H548,helom.base_company,437030,COTIS. RETRAITE NON CADRE,Regular,l10n_fr.account_type_dettes,__account__.account_account_H544,
__account__.account_account_H549,helom.base_company,437040,COTIS. PREVOYANCE,Regular,l10n_fr.account_type_dettes,__account__.account_account_H544,
__account__.account_account_H550,helom.base_company,437060,COTISATIONS AUX ASSEDIC,Regular,l10n_fr.account_type_dettes,__account__.account_account_H544,
__account__.account_account_H1354,helom.base_company,437070,ORGANIC,Regular,l10n_fr.account_type_dettes,__account__.account_account_H544,
__account__.account_account_H1439,helom.base_company,437080,TAXES APPRENTISSAGE,Regular,l10n_fr.account_type_dettes,__account__.account_account_H544,
__account__.account_account_H551,helom.base_company,438000,Organismes sociaux - Charges à payer et produits à recevoir,View,l10n_fr.account_type_view,__account__.account_account_H544,
